ADDRESS,form_address,lat,long
"00 TRINITY ST, Austin, TX","0 Trinity St, Austin, TX 78701, USA",30.2615819,-97.7413945
"12200 N MOPAC EXPY SVRD NB, Austin, TX","12200 N Mopac Expy, Austin, TX 78758, USA",30.414351,-97.707836
"2200 S PLEASANT VALLEY RD, Austin, TX","2200 S Pleasant Valley Rd, Austin, TX 78741, USA",30.2316954,-97.72638880000001
"3200 DUVAL RD, Austin, TX","3200 Duval Rd, Austin, TX 78759, USA",30.4112066,-97.717233
"7900 SAN FELIPE BLVD, Austin, TX","7900 San Felipe Blvd, Austin, TX 78729, USA",30.4381746,-97.76791399999999
"14000 N US 183 HWY SVRD SB, Austin, TX","US-183, Austin, TX, USA",30.3351675,-97.7024658
"1600 E RIVERSIDE DR, Austin, TX","1600 E Riverside Dr, Austin, TX 78741, USA",30.2458046,-97.7310725
"1700 TERI RD, Austin, TX","1700 Teri Rd, Austin, TX 78744, USA",30.205323,-97.75588239999999
"2300 WICKERSHAM LN, Austin, TX","2300 Wickersham Ln, Austin, TX 78741, USA",30.2296093,-97.7214281
"2400 CROMWELL CIR, Austin, TX","2400 Cromwell Cir, Austin, TX 78741, USA",30.2258724,-97.7205016
"3600 S IH 35 SVRD SB, Austin, TX","3600 S IH 35 Frontage Rd, Austin, TX 78704, USA",30.2221679,-97.74968179999999
"4400 E RIVERSIDE DR, Austin, TX","4400 E Riverside Dr, Austin, TX 78741, USA",30.2340465,-97.72274960000001
"4500 E ST ELMO RD, Austin, TX","4500 E St Elmo Rd, Austin, TX 78744, USA",30.2067035,-97.7389158
"12900 N IH 35 SVRD NB, Austin, TX","12900 N Interstate Hwy 35, Austin, TX 78753, USA",30.4134274,-97.6763088
"2800 S LAKELINE BLVD, Austin, TX","2800 S Lakeline Blvd, Cedar Park, TX 78613, USA",30.4762529,-97.8104177
"8000 N IH 35 SVRD SB, Austin, TX","N Interstate Hwy 35, Austin, TX, USA",30.3733721,-97.6785463
"900 W BEN WHITE BLVD SVRD EB, Austin, TX","W Ben White Blvd, Austin, TX, USA",30.2273096,-97.77319779999999
"2000 WILLOW CREEK DR, Austin, TX","2000 Willow Creek Dr, Austin, TX 78741, USA",30.2340122,-97.72868500000001
"4600 NUCKOLS CROSSING RD, Austin, TX","4600 Nuckols Crossing Rd, Austin, TX 78744, USA",30.1998019,-97.7349272
"600 TRINITY ST, Austin, TX","600 Trinity St, Austin, TX 78701, USA",30.2670774,-97.73933149999999
"9300 N LAMAR BLVD, Austin, TX","9300 N Lamar Blvd, Austin, TX 78753, USA",30.3619195,-97.6986855
"6300 E RIVERSIDE DR, Austin, TX","6300 E Riverside Dr, Austin, TX 78741, USA",30.224983,-97.7033927
"100 E 2ND ST, Austin, TX","100 E 2nd St, Austin, TX 78701, USA",30.2643163,-97.7441836
"11200 RESEARCH BLVD SVRD NB, Austin, TX","11200 Research Blvd, Austin, Tx 78759, Austin, TX 78759, United States",30.4083933,-97.7458869
"2000 E RIVERSIDE DR, Austin, TX","2000 E Riverside Dr, Austin, TX 78741, USA",30.2411281,-97.7269816
"8200 N FM 620 RD, Austin, TX","8200 N FM 620, Austin, TX 78726, USA",30.4185531,-97.8473832
"2300 DURWOOD ST, Austin, TX","2300 Durwood St, Austin, TX 78704, USA",30.243108200000002,-97.7570477
"500 E 4TH ST, Austin, TX","500 E 4th St, Austin, TX 78701, USA",30.2651364,-97.7381904
"700 E 6TH ST, Austin, TX","7000 Grand Canyon Dr, Austin, TX 78752, USA",30.3256069,-97.69567169999999
"7000 GRAND CANYON DR, Austin, TX","700 E 6th St, Austin, TX 78701, USA",30.2663066,-97.73586309999999
"8800 NORTH PLZ, Austin, TX","8800 North Dr, Austin, TX 78753, USA",30.35816539999999,-97.694195
"11400 CENTURY OAKS TER, Austin, TX","11400 Century Oaks Terrace, Austin, TX 78758, USA",30.4009181,-97.7265204
"1300 LAMAR SQUARE DR, Austin, TX","1300 Lamar Square Dr, Austin, TX 78704, USA",30.2542411,-97.76258159999999
"5500 N IH 35 SVRD SB, Austin, TX","5500 N Interstate Hwy 35, Austin, TX 78751, USA",30.314324,-97.70861
